method,pert,run_id,reloc_ok,task_ok,retries,dt_L0_s,dt_L1_s,linear_L0_m,linear_L1_m,angular_L0_rad,angular_L1_rad,e_pass_linear_L0,e_pass_yaw_L0,e_tr_sigma_L0,e_C_t_L0,e_pass_linear_L1,e_pass_yaw_L1,e_tr_sigma_L1,e_C_t_L1,e_pass_linear_init_L0,e_pass_yaw_init_L0,e_pass_linear_init_L1,e_pass_yaw_init_L1,mean_linear_after_L0,max_linear_after_L0,std_linear_after_L0,mean_linear_after_L1,max_linear_after_L1,std_linear_after_L1,false_accept,hlf_L0,hlf_L1,hlf_any,pert_offset_xy_m,corr_lin_L0,corr_lin_L1
baseline,0.1_0.1_0.05,1,2,True,0,6.002,6.012,0.14,0.14,0.02,0.01,0.1419,0.0151,0.0,1.0,0.1403,0.013,0.0,1.0,0.0007,0.0349,0.0015,0.037,0.1562,0.1791,0.0152,0.1796,0.3158,0.0677,0,0,0,0,0.141421,-0.0034,0.0079
baseline,0.1_0.1_0.05,2,2,True,0,6.006,6.015,0.14,0.14,0.03,0.03,0.1419,0.0279,0.0,1.0,0.1407,0.0252,0.0,1.0,0.0007,0.0221,0.001,0.0248,0.1539,0.1719,0.0125,0.1814,0.3298,0.0738,0,0,0,0,0.141421,-0.0034,0.0051
baseline,0.1_0.1_0.05,3,2,True,0,6.199,6.008,0.14,0.14,0.02,0.02,0.1419,0.0222,0.0,1.0,0.1404,0.0228,0.0,1.0,0.0007,0.0278,0.0014,0.0272,0.152,0.1718,0.0127,0.1837,0.3319,0.0739,0,0,0,0,0.141421,-0.0034,0.0072
baseline,0.1_0.1_0.05,4,2,True,0,6.083,6.091,0.14,0.14,0.04,0.04,0.1419,0.04,-0.0,1.0,0.141,0.0423,-0.0,1.0,0.0007,0.01,0.0005,0.0077,0.149,0.1575,0.0072,0.1457,0.1969,0.0285,0,0,0,0,0.141421,-0.0034,0.003
baseline,0.1_0.1_0.05,5,2,False,1,6.099,12.309,0.14,5.34,0.05,1.66,0.1419,0.0537,0.1494,0.8612,0.1406,0.0518,1.7608,0.1719,0.0007,0.0037,0.0011,0.0018,0.1554,0.176,0.0143,0.1622,0.3014,0.0666,1,0,0,0,0.141421,-0.0034,0.0058
baseline,0.25_0.25_0.15,1,2,False,0,6.105,6.113,0.35,0.35,0.19,0.19,0.3541,0.1861,0.0829,0.9204,0.3532,0.1854,0.0,1.0,0.0007,0.0361,0.0005,0.0354,0.3769,0.411,0.0243,0.3108,0.3532,0.044,1,1,1,1,0.353553,-0.0015,0.001
baseline,0.25_0.25_0.15,2,2,False,1,6.068,12.28,0.35,1.52,0.14,0.24,0.3541,0.1425,-0.0,1.0,0.3532,0.1424,0.3826,0.6821,0.0007,0.0075,0.0004,0.0076,0.3714,0.4079,0.0222,0.3271,0.3532,0.0361,1,0,0,0,0.353553,-0.0015,0.001
baseline,0.25_0.25_0.15,3,2,True,0,6.045,6.057,0.35,0.35,0.12,0.12,0.3541,0.1165,0.0,1.0,0.3532,0.1233,0.0,1.0,0.0007,0.0335,0.0004,0.0267,0.3763,0.4086,0.0235,0.3223,0.3532,0.0378,0,0,0,0,0.353553,-0.0015,0.001
baseline,0.25_0.25_0.15,4,2,True,0,6.005,6.015,0.35,0.35,0.15,0.15,0.3541,0.1515,-0.0,1.0,0.353,0.1505,1.0424,0.3526,0.0007,0.0015,0.0006,0.0005,0.375,0.4076,0.0225,0.3194,0.353,0.0376,0,1,1,1,0.353553,-0.0015,0.0016
baseline,0.25_0.25_0.15,5,2,False,0,6.159,6.172,0.35,0.35,0.16,0.16,0.3541,0.1554,0.1549,0.8565,0.3532,0.1567,1.1205,0.3261,0.0007,0.0054,0.0005,0.0067,0.381,0.4204,0.0284,0.3189,0.3531,0.0371,1,1,1,1,0.353553,-0.0015,0.001
baseline,0.4_0.4_0.2,1,0,False,32,,,0.57,0.57,0.19,0.19,,,,,,,,,,,,,,,,,,,0,,,,0.565685,,
baseline,0.4_0.4_0.2,2,0,False,32,,,0.57,0.57,0.25,0.24,,,,,,,,,,,,,,,,,,,0,,,,0.565685,,
baseline,0.4_0.4_0.2,3,0,False,32,,,0.57,0.57,0.15,0.16,,,,,,,,,,,,,,,,,,,0,,,,0.565685,,
baseline,0.4_0.4_0.2,4,0,False,32,,,0.57,0.57,0.22,0.22,,,,,,,,,,,,,,,,,,,0,,,,0.565685,,
baseline,0.4_0.4_0.2,5,0,False,32,,,0.57,0.57,0.21,0.21,,,,,,,,,,,,,,,,,,,0,,,,0.565685,,
relocc,0.1_0.1_0.05,1,2,True,0,6.465,6.473,0.14,0.14,0.03,0.03,0.1419,0.0303,0.0,1.0,0.1405,0.0298,0.0,1.0,0.0007,0.0197,0.0012,0.0202,0.1566,0.1779,0.0152,0.1817,0.3299,0.0743,0,0,0,0,0.141421,-0.0034,0.0065
relocc,0.1_0.1_0.05,2,2,True,0,6.454,6.46,0.14,0.14,0.04,0.04,0.1419,0.0416,-0.0,1.0,0.1407,0.0406,-0.0,1.0,0.0007,0.0084,0.001,0.0094,0.1542,0.1733,0.0129,0.178,0.3303,0.0735,0,0,0,0,0.141421,-0.0034,0.0051
relocc,0.1_0.1_0.05,3,2,True,0,6.557,24.967,0.14,0.14,0.0,0.0,0.1419,0.0017,0.0,1.0,0.1383,0.1541,0.0008,0.9833,0.0007,0.0517,0.0047,0.2041,0.155,0.1737,0.0136,0.1939,0.3248,0.0688,0,0,1,1,0.141421,-0.0034,0.0221
relocc,0.1_0.1_0.05,4,2,True,0,6.564,6.575,0.14,0.14,0.05,0.05,0.1419,0.0468,-0.0,1.0,0.1405,0.0456,-0.0,1.0,0.0007,0.0032,0.0012,0.0044,0.1543,0.1729,0.013,0.1728,0.3204,0.0698,0,0,0,0,0.141421,-0.0034,0.0065
relocc,0.1_0.1_0.05,5,2,True,0,6.572,6.585,0.14,0.14,0.02,0.01,0.1419,0.0125,0.0,1.0,0.1406,0.0171,0.0,1.0,0.0007,0.0375,0.0012,0.0329,0.1551,0.1744,0.0138,0.1846,0.334,0.0744,0,0,0,0,0.141421,-0.0034,0.0058
relocc,0.25_0.25_0.15,1,2,False,1,18.431,51.647,0.35,0.35,0.16,0.16,0.3553,0.189,0.0053,0.8986,0.3534,0.1635,0.0,1.0,0.0021,0.039,0.0002,0.0135,0.3773,0.4115,0.0238,0.3167,0.3534,0.0385,1,1,1,1,0.353553,-0.0049,0.0004
relocc,0.25_0.25_0.15,2,2,False,2,104.075,6.487,0.35,0.35,0.18,0.18,0.3553,0.2045,0.0075,0.8602,0.3532,0.1761,0.0,1.0,0.0021,0.0545,0.0004,0.0261,0.3669,0.3827,0.012,0.2712,0.3532,0.0874,1,1,1,1,0.353553,-0.0049,0.001
relocc,0.25_0.25_0.15,3,1,False,3,6.597,,0.35,0.35,0.14,0.14,0.3541,0.1362,0.0,1.0,,,,,0.0007,0.0138,,,0.3772,0.4125,0.0246,,,,0,0,,0,0.353553,-0.0015,
relocc,0.25_0.25_0.15,4,2,False,2,99.173,6.578,0.35,0.35,0.19,0.19,0.3546,0.2039,0.0042,0.92,0.3534,0.1884,0.0,1.0,0.0013,0.0539,0.0002,0.0384,0.3797,0.4183,0.0269,0.3189,0.3534,0.0425,1,1,1,1,0.353553,-0.003,0.0004
relocc,0.25_0.25_0.15,5,2,True,0,6.524,6.535,0.35,0.35,0.12,0.12,0.3541,0.1204,0.0,1.0,0.3533,0.12,0.0,1.0,0.0007,0.0296,0.0004,0.03,0.3787,0.4143,0.026,0.3248,0.3533,0.035,0,0,0,0,0.353553,-0.0015,0.0007
relocc,0.4_0.4_0.2,1,0,False,4,,,0.57,0.57,0.22,0.22,,,,,,,,,,,,,,,,,,,0,,,,0.565685,,
relocc,0.4_0.4_0.2,2,0,False,4,,,0.57,0.57,0.2,0.2,,,,,,,,,,,,,,,,,,,0,,,,0.565685,,
relocc,0.4_0.4_0.2,3,1,False,2,27.755,,0.57,0.57,0.24,0.24,0.4836,0.1412,0.0028,0.9458,,,,,0.64,0.0588,,,0.4564,0.4836,0.0387,,,,0,1,,1,0.565685,0.1451,
relocc,0.4_0.4_0.2,4,0,False,4,,,0.57,0.57,0.2,0.2,,,,,,,,,,,,,,,,,,,0,,,,0.565685,,
relocc,0.4_0.4_0.2,5,0,False,4,,,0.57,0.57,0.19,0.19,,,,,,,,,,,,,,,,,,,0,,,,0.565685,,

